what,kind,bundleId,bundleVersion,description,time
java.vm.version,sysinfo,,,"20.65-b04-462",1394729253764
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1394729254516
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1394729254518
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1394729254587
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1394729254634
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1394729254734
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394729254927
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1394729254984
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1394729255025
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394729255511
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394729255532
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394729263224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394729276291
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394729277611
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394729279567
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394729279697
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1394729280663
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394729280666
